Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R311,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.69,55.03,0.0,top
R312,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.69,53.03,0.0,top
R313,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.22,21.57,-90.0,top
R314,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.87,46.43,-90.0,top
R315,3.9k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.91,46.44,-90.0,top
R316,330k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,45.9375,20.925,90.0,top
R317,82k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.0075,20.925,-90.0,top
R318,120k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.8375,23.825,0.0,top
R319,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,69.83,21.2,0.0,top
R320,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,66.02,19.06,0.0,top
R321,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,42.24,0.0,top
R322,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,64.01,47.51,180.0,top
R323,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,75.24,50.24,180.0,top
R324,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.43,48.53,0.0,top
R325,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,69.83,23.22,0.0,top
R326,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,69.645,36.165,0.0,top
R327,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.83,41.63,90.0,top
R328,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.53,39.13,90.0,top
R329,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,69.645,34.205,180.0,top
R330,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.53,43.13,-90.0,top
R331,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,69.495,28.855,0.0,top
R332,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.59,57.03,0.0,top
R401,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.8,4.6,90.0,top
R402,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.43,5.84,90.0,top
R403,22R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47.3443,-3.205,90.0,top
R404,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48.02,0.68,-90.0,top
R405,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,50.1443,2.595,90.0,top
R406,24k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,66.89,4.62,-90.0,top
R407,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.19,-2.92,-90.0,top
R408,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,52.14,2.6,90.0,top
R501,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,53.49,15.32,90.0,top
R502,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.04,18.18,180.0,top
R503,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.24,15.33,90.0,top
R504,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.39,15.33,90.0,top
R505,200R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.31,15.33,90.0,top
R601,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61.15,15.36,-90.0,top
R602,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,39.57,6.34,0.0,top
R603,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.34,9.17,-90.0,top
SW301,SW_Push,SW_SPST_SKQG_WithStem,77.44,37.69,180.0,top
SW302,SW_Push,SW_SPST_SKQG_WithStem,77.44,54.84,0.0,top
U301,TPS61089RNRR,Texas_VQFN-RNR0011A-11,45.1875,25.78,90.0,top
U302,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,48.54,45.6925,270.0,top
U401,ST8034ATDT,SO-16_STM_handsolder,59.3,0.3,0.0,top
